Rank,Building,City,Country,Height (ft),Floors,Built
1,Burj Khalifa,Dubai,UAE,2717,163,2010
2,Shanghai Tower,Shanghai,China,2073,121,2014
3,Makkah Royal Clock Tower Hotel,Mecca,Saudi Arabia,1971,120,2012
4,One World Trade Center,New York City,USA,1776,104,2014
6,Taipei 101,Taipei,Taiwan,1670,101,2004
7,Shanghai World Financial Center,Shanghai,China,1614,101,2008
8,International Commerce Centre,Hong Kong,Hong Kong,1588,118,2010
9,Petronas Tower 1,Kuala Lumpur,Malaysia,1483,88,1998
9,Petronas Tower 2,Kuala Lumpur,Malaysia,1483,88,1998
11,Zifeng Tower,Nanjing,China,1476,89,2010
12,Willis Tower (Formerly Sears Tower),Chicago,USA,1450,108,1973
13,KK100,Shenzhen,China,1449,100,2011
14,Guangzhou International Finance Center,Guangzhou,China,1440,103,2010
15,Trump International Hotel and Tower,Chicago,USA,1389,98,2009
16,Jin Mao Tower,Shanghai,China,1380,88,1999
17,Princess Tower,Dubai,UAE,1358,101,2012
18,Al Hamra Tower,Kuwait City,Kuwait,1354,80,2011
19,2 International Finance Centre,Hong Kong,Hong Kong,1352,88,2003
20,23 Marina,Dubai,UAE,1296,89,2012
21,CITIC Plaza,Guangzhou,China,1283,80,1997
22,Shun Hing Square,Shenzhen,China,1260,69,1996
23,Central Market Project,Abu Dhabi,UAE,1251,88,2012
24,Empire State Building,New York City,USA,1250,102,1931
25,Elite Residence,Dubai,UAE,1247,87,2012
26,Tuntex Sky Tower,Kaohsiung,Taiwan,1240,85,1997
27,Central Plaza,Hong Kong,Hong Kong,1227,78,1992
28,Bank of China Tower,Hong Kong,Hong Kong,1205,70,1990
29,Bank of America Tower,New York City,USA,1200,54,2009
30,Almas Tower,Dubai,UAE,1191,68,2009
31,The Pinnacle,Guangzhou,China,1181,60,2012
32,SEG Plaza,Shenzhen,China,1168,70,2000
33,JW Marriott Marquis Dubai Tower 1,Dubai,UAE,1166,82,2012
33,JW Marriott Marquis Dubai Tower 2,Dubai,UAE,1166,82,2013
35,Emirates Office Tower,Dubai,UAE,1163,54,2000
36,Aon Center,Chicago,USA,1136,83,1973
37,The Center,Hong Kong,Hong Kong,1135,73,1998
38,Keangnam Hanoi Landmark Tower,Hanoi,Vietnam,1132,72,2011
39,John Hancock Center,Chicago,USA,1128,100,1969
